"Label (Grouping)","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher"
"Baldwin County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","146,987","4,322","10,506","41,822","31,210","15,580","25,524","18,023","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.9%","7.1%","28.5%","21.2%","10.6%","17.4%","12.3%","89.9%","29.6%"
"    Males","","","","","","","","","",""
"        Estimate","69,793","2,123","6,679","18,636","14,226","6,182","14,148","7,799","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.0%","9.6%","26.7%","20.4%","8.9%","20.3%","11.2%","87.4%","31.4%"
"    Females","","","","","","","","","",""
"        Estimate","77,194","2,199","3,827","23,186","16,984","9,398","11,376","10,224","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.8%","5.0%","30.0%","22.0%","12.2%","14.7%","13.2%","92.2%","28.0%"
"Calhoun County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","78,218","5,070","8,853","24,761","21,172","5,453","7,295","5,614","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.5%","11.3%","31.7%","27.1%","7.0%","9.3%","7.2%","82.2%","16.5%"
"    Males","","","","","","","","","",""
"        Estimate","36,870","2,602","4,038","11,292","10,893","2,300","3,604","2,141","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.1%","11.0%","30.6%","29.5%","6.2%","9.8%","5.8%","82.0%","15.6%"
"    Females","","","","","","","","","",""
"        Estimate","41,348","2,468","4,815","13,469","10,279","3,153","3,691","3,473","(X)","(X)"
"    Percent Females","","","","","","","","","",""
