,FIPS_ST,FIPS_CTY,GRNDTOT,MURDER,RAPE,ROBBERY,AGASSLT,State_CTY,Population,Crime_Rates,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),"Population 25 years and over!!Some college, no degree",Population 25 years and over!!Associate's degree,Population 25 years and over!!Bachelor's degree,Population 25 years and over!!Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher
0,Alabama,3,490,7,35,130,318,Alabama3,208563,234.94100104045302,2.9,7.1,28.5,21.2,10.6,17.4,12.3,89.9,29.6
1,Alabama,15,303,8,17,65,213,Alabama15,114611,264.37252968737727,6.5,11.3,31.7,27.1,7.0,9.3,7.2,82.2,16.5
2,Alabama,43,28,1,4,3,20,Alabama43,82471,33.95132834572153,8.0,14.6,32.2,18.3,10.0,11.4,5.5,77.4,16.9
3,Alabama,49,39,2,1,1,35,Alabama49,70900,55.00705218617772,10.3,15.3,31.8,22.1,9.7,6.8,4.1,74.4,10.9
4,Alabama,55,185,7,4,35,139,Alabama55,102564,180.37518037518038,6.3,12.2,34.8,23.5,7.7,9.7,5.9,81.5,15.6
5,Alabama,69,255,16,23,64,152,Alabama69,104056,245.06035211809026,4.5,11.4,30.1,24.2,9.5,13.1,7.2,84.0,20.3
6,Alabama,73,843,38,17,209,579,Alabama73,659521,127.82003908897518,2.8,7.8,26.3,21.7,8.5,20.0,12.9,89.4,32.9
7,Alabama,81,208,20,2,34,152,Alabama81,158991,130.8250152524357,4.3,7.9,22.1,22.1,7.9,19.7,16.0,87.8,35.7
8,Alabama,83,114,3,7,16,88,Alabama83,92753,122.90707578191541,6.0,13.1,30.2,21.4,7.0,14.5,7.7,80.9,22.3
9,Alabama,89,579,29,64,146,340,Alabama89,356967,162.1998672146165,3.9,5.8,22.6,20.0,7.1,23.8,16.8,90.3,40.6
10,Alabama,95,151,3,9,5,134,Alabama95,95157,158.68512038000355,6.5,11.0,33.4,24.8,8.0,11.0,5.4,82.6,16.4
11,Alabama,97,760,55,31,212,462,Alabama97,414836,183.2049291768313,2.8,10.6,32.1,21.7,9.1,15.8,7.8,86.6,23.7
