Table 6,,,,,,,,,,,,
FLORIDA,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,
"by City, 2016",,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition1)","Rape
(legacy
definition2)",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Alachua,"9,900",42,0,6,,4,32,306,64,219,23,1
Altamonte Springs,"43,499",152,8,16,,35,93,"1,535",274,"1,185",76,4
Apalachicola,"2,291",4,0,0,,0,4,26,6,10,10,0
Apopka,"49,796",224,1,28,,39,156,"2,008",478,"1,400",130,6
Arcadia,"7,893",64,1,1,,7,55,189,101,81,7,0
Atlantic Beach,"13,302",46,0,1,,16,29,345,64,251,30,0
Atlantis,"2,126",4,0,0,,1,3,48,11,35,2,0
Auburndale,"15,356",29,1,1,,9,18,574,120,428,26,2
Aventura,"38,009",64,0,0,,34,30,"1,929",99,"1,789",41,1
Bal Harbour Village,"2,955",2,0,0,,0,2,93,7,84,2,0
Bartow,"19,322",121,2,13,,26,80,869,143,692,34,2
Bay Harbor Islands,"6,117",1,0,0,,0,1,39,4,28,7,0
Belleair,"4,017",1,0,0,,0,1,103,10,75,18,0
Belleair Beach,"1,619",3,0,0,,0,3,26,1,21,4,0
Belleair Bluffs,"2,108",2,0,0,,1,1,49,8,37,4,0
Belle Glade,"18,405",295,8,12,,60,215,966,279,629,58,1
Belle Isle,"6,835",14,2,0,,5,7,107,33,69,5,0
Belleview,"4,813",26,0,3,,8,15,211,57,151,3,1
Biscayne Park,"3,243",2,0,0,,2,0,98,37,54,7,0
Blountstown,"2,495",13,0,0,,1,12,36,4,31,1,0
Boca Raton,"94,931",239,1,22,,105,111,"2,495",507,"1,831",157,1
Bowling Green,"2,916",12,0,0,,5,7,68,19,47,2,0
Boynton Beach,"75,141",495,1,3,,167,324,"3,572",566,"2,752",254,4
Bradenton,"55,518",328,4,31,,72,221,"1,713",325,"1,323",65,5
Bradenton Beach,"1,257",1,0,0,,0,1,23,1,21,1,0
Brooksville,"7,881",55,0,5,,13,37,309,50,241,18,0
Bunnell,"2,856",24,0,1,,2,21,107,13,80,14,0
Cape Coral,"179,631",224,5,16,,31,172,"3,081",632,"2,286",163,4
Carrabelle,"2,723",7,0,0,,0,7,25,11,12,2,0
Casselberry,"27,220",153,1,17,,32,103,"1,067",163,862,42,5
Center Hill,"1,241",3,0,1,,0,2,0,0,0,0,0
Chattahoochee,"3,059",14,1,1,,2,10,34,11,16,7,0
Chiefland,"2,213",9,0,0,,3,6,225,110,115,0,0
Chipley,"3,557",14,0,0,,3,11,170,32,133,5,0
Clearwater,"113,904",636,5,89,,145,397,"3,755",555,"2,968",232,17
Clermont,"33,158",53,1,2,,10,40,720,108,583,29,2
Clewiston,"7,579",36,0,1,,7,28,240,39,197,4,1
Cocoa,"17,825",369,3,27,,82,257,"1,210",244,854,112,5
Cocoa Beach,"11,669",62,1,6,,11,44,717,86,597,34,1
Coconut Creek,"60,633",73,0,12,,26,35,"1,249",136,995,118,0
