"Label (Grouping)","Total"
"Baldwin County, Alabama",""
"    Estimate","2,223"
"Calhoun County, Alabama",""
"    Estimate","1,695"
"Cullman County, Alabama",""
"    Estimate","1,359"
"DeKalb County, Alabama",""
"    Estimate","1,242"
"Elmore County, Alabama",""
"    Estimate","1,134"
"Etowah County, Alabama",""
"    Estimate","1,560"
"Houston County, Alabama",""
"    Estimate","5,218"
"Jefferson County, Alabama",""
"    Estimate","9,197"
"Lauderdale County, Alabama",""
"    Estimate","1,433"
"Lee County, Alabama",""
"    Estimate","1,886"
"Limestone County, Alabama",""
"    Estimate","1,188"
"Madison County, Alabama",""
"    Estimate","4,820"
"Marshall County, Alabama",""
"    Estimate","2,662"
"Mobile County, Alabama",""
"    Estimate","5,900"
"Montgomery County, Alabama",""
"    Estimate","3,260"
"Morgan County, Alabama",""
"    Estimate","1,709"
"St. Clair County, Alabama",""
"    Estimate","1,047"
"Shelby County, Alabama",""
"    Estimate","3,201"
"Talladega County, Alabama",""
"    Estimate","1,109"
"Tuscaloosa County, Alabama",""
"    Estimate","2,891"
"Walker County, Alabama",""
"    Estimate","1,155"
"Anchorage Municipality, Alaska",""
"    Estimate","3,927"
"Fairbanks North Star Borough, Alaska",""
"    Estimate","1,249"
"Matanuska-Susitna Borough, Alaska",""
"    Estimate","2,403"
"Apache County, Arizona",""
"    Estimate","2,293"
"Cochise County, Arizona",""
"    Estimate","2,161"
"Coconino County, Arizona",""
"    Estimate","2,680"
"Maricopa County, Arizona",""
"    Estimate","59,391"
"Mohave County, Arizona",""
"    Estimate","2,807"
"Navajo County, Arizona",""
"    Estimate","2,428"
"Pima County, Arizona",""
"    Estimate","15,043"
"Pinal County, Arizona",""
"    Estimate","5,356"
"Yavapai County, Arizona",""
"    Estimate","2,743"
"Yuma County, Arizona",""
"    Estimate","2,891"
"Benton County, Arkansas",""
"    Estimate","4,185"
"Craighead County, Arkansas",""
"    Estimate","1,384"
"Faulkner County, Arkansas",""
"    Estimate","1,984"
"Garland County, Arkansas",""
"    Estimate","1,108"
"Jefferson County, Arkansas",""
"    Estimate","1,137"
"Lonoke County, Arkansas",""
"    Estimate","1,013"
"Pulaski County, Arkansas",""
"    Estimate","4,829"
"Saline County, Arkansas",""
"    Estimate","1,495"
"Sebastian County, Arkansas",""
"    Estimate","1,736"
"Washington County, Arkansas",""
"    Estimate","2,889"
"White County, Arkansas",""
"    Estimate","1,183"
"Alameda County, California",""
"    Estimate","25,652"
"Butte County, California",""
"    Estimate","3,440"
"Contra Costa County, California",""
"    Estimate","15,113"
"El Dorado County, California",""
"    Estimate","2,547"
"Fresno County, California",""
"    Estimate","13,427"
"Humboldt County, California",""
"    Estimate","2,172"
"Imperial County, California",""
"    Estimate","2,343"
"Kern County, California",""
"    Estimate","10,920"
"Kings County, California",""
"    Estimate","2,482"
"Lake County, California",""
"    Estimate","699"
"Los Angeles County, California",""
"    Estimate","153,508"
"Madera County, California",""
"    Estimate","1,930"
"Marin County, California",""
"    Estimate","3,591"
"Mendocino County, California",""
"    Estimate","1,336"
"Merced County, California",""
"    Estimate","3,502"
"Monterey County, California",""
"    Estimate","6,326"
"Napa County, California",""
"    Estimate","2,517"
"Nevada County, California",""
"    Estimate","1,340"
"Orange County, California",""
"    Estimate","44,593"
"Placer County, California",""
"    Estimate","5,815"
"Riverside County, California",""
"    Estimate","32,959"
"Sacramento County, California",""
"    Estimate","21,703"
"San Bernardino County, California",""
"    Estimate","27,051"
"San Diego County, California",""
"    Estimate","44,087"
"San Francisco County, California",""
"    Estimate","12,044"
"San Joaquin County, California",""
"    Estimate","10,480"
"San Luis Obispo County, California",""
"    Estimate","3,785"
"San Mateo County, California",""
"    Estimate","11,542"
"Santa Barbara County, California",""
"    Estimate","6,342"
"Santa Clara County, California",""
"    Estimate","29,323"
"Santa Cruz County, California",""
"    Estimate","3,869"
"Shasta County, California",""
"    Estimate","3,151"
"Solano County, California",""
"    Estimate","6,397"
"Sonoma County, California",""
"    Estimate","7,239"
"Stanislaus County, California",""
"    Estimate","7,126"
"Sutter County, California",""
"    Estimate","1,641"
"Tulare County, California",""
"    Estimate","6,419"
"Ventura County, California",""
"    Estimate","12,552"
"Yolo County, California",""
"    Estimate","3,097"
"Yuba County, California",""
"    Estimate","1,086"
"Adams County, Colorado",""
"    Estimate","6,608"
"Arapahoe County, Colorado",""
"    Estimate","10,378"
"Boulder County, Colorado",""
"    Estimate","4,958"
"Broomfield County, Colorado",""
"    Estimate","1,115"
"Denver County, Colorado",""
"    Estimate","9,479"
"Douglas County, Colorado",""
"    Estimate","4,946"
"El Paso County, Colorado",""
"    Estimate","9,734"
"Jefferson County, Colorado",""
"    Estimate","9,633"
"Larimer County, Colorado",""
"    Estimate","4,998"
"Mesa County, Colorado",""
"    Estimate","2,013"
"Pueblo County, Colorado",""
"    Estimate","2,830"
"Weld County, Colorado",""
"    Estimate","5,361"
"Fairfield County, Connecticut",""
"    Estimate","14,467"
"Hartford County, Connecticut",""
"    Estimate","14,042"
"Litchfield County, Connecticut",""
"    Estimate","3,404"
"Middlesex County, Connecticut",""
"    Estimate","2,537"
"New Haven County, Connecticut",""
"    Estimate","11,960"
"New London County, Connecticut",""
"    Estimate","4,563"
"Tolland County, Connecticut",""
"    Estimate","2,406"
"Windham County, Connecticut",""
"    Estimate","1,855"
"Kent County, Delaware",""
"    Estimate","2,653"
"New Castle County, Delaware",""
"    Estimate","8,582"
"Sussex County, Delaware",""
"    Estimate","4,054"
"District of Columbia, District of Columbia",""
"    Estimate","9,990"
"Alachua County, Florida",""
"    Estimate","3,364"
"Bay County, Florida",""
"    Estimate","2,569"
"Brevard County, Florida",""
"    Estimate","6,984"
"Broward County, Florida",""
"    Estimate","21,583"
"Charlotte County, Florida",""
"    Estimate","2,241"
"Citrus County, Florida",""
"    Estimate","1,594"
"Clay County, Florida",""
"    Estimate","2,031"
"Collier County, Florida",""
"    Estimate","4,273"
"Columbia County, Florida",""
"    Estimate","871"
"Duval County, Florida",""
"    Estimate","10,736"
"Escambia County, Florida",""
"    Estimate","4,102"
"Flagler County, Florida",""
"    Estimate","1,327"
"Hernando County, Florida",""
"    Estimate","2,631"
"Highlands County, Florida",""
"    Estimate","1,137"
"Hillsborough County, Florida",""
"    Estimate","18,752"
"Indian River County, Florida",""
"    Estimate","1,518"
"Lake County, Florida",""
"    Estimate","3,743"
"Lee County, Florida",""
"    Estimate","9,015"
"Leon County, Florida",""
"    Estimate","3,989"
"Manatee County, Florida",""
"    Estimate","4,663"
"Marion County, Florida",""
"    Estimate","3,771"
"Martin County, Florida",""
"    Estimate","1,951"
"Miami-Dade County, Florida",""
"    Estimate","30,953"
"Monroe County, Florida",""
"    Estimate","1,276"
"Nassau County, Florida",""
"    Estimate","1,062"
"Okaloosa County, Florida",""
"    Estimate","2,769"
"Orange County, Florida",""
"    Estimate","14,220"
"Osceola County, Florida",""
"    Estimate","2,818"
"Palm Beach County, Florida",""
"    Estimate","19,037"
"Pasco County, Florida",""
"    Estimate","7,842"
"Pinellas County, Florida",""
"    Estimate","13,587"
"Polk County, Florida",""
"    Estimate","8,969"
"Putnam County, Florida",""
"    Estimate","999"
"St. Johns County, Florida",""
"    Estimate","2,643"
"St. Lucie County, Florida",""
"    Estimate","2,515"
"Santa Rosa County, Florida",""
"    Estimate","1,936"
"Sarasota County, Florida",""
"    Estimate","5,540"
"Seminole County, Florida",""
"    Estimate","5,508"
"Sumter County, Florida",""
"    Estimate","1,376"
"Volusia County, Florida",""
"    Estimate","6,901"
"Walton County, Florida",""
"    Estimate","805"
"Barrow County, Georgia",""
"    Estimate","1,273"
"Bartow County, Georgia",""
"    Estimate","1,158"
"Bibb County, Georgia",""
"    Estimate","2,182"
"Bulloch County, Georgia",""
"    Estimate","1,022"
"Carroll County, Georgia",""
"    Estimate","1,204"
"Catoosa County, Georgia",""
"    Estimate","709"
"Chatham County, Georgia",""
"    Estimate","3,898"
"Cherokee County, Georgia",""
"    Estimate","2,283"
"Clarke County, Georgia",""
"    Estimate","1,738"
"Clayton County, Georgia",""
"    Estimate","3,028"
"Cobb County, Georgia",""
"    Estimate","8,683"
"Columbia County, Georgia",""
"    Estimate","1,410"
"Coweta County, Georgia",""
"    Estimate","1,676"
"DeKalb County, Georgia",""
"    Estimate","9,290"
"Dougherty County, Georgia",""
"    Estimate","1,308"
"Douglas County, Georgia",""
"    Estimate","1,400"
"Fayette County, Georgia",""
"    Estimate","1,469"
"Floyd County, Georgia",""
"    Estimate","1,314"
"Forsyth County, Georgia",""
"    Estimate","3,745"
"Fulton County, Georgia",""
"    Estimate","11,277"
"Glynn County, Georgia",""
"    Estimate","946"
"Gwinnett County, Georgia",""
"    Estimate","9,080"
"Hall County, Georgia",""
"    Estimate","2,642"
"Henry County, Georgia",""
"    Estimate","1,933"
"Houston County, Georgia",""
"    Estimate","1,454"
"Liberty County, Georgia",""
"    Estimate","1,102"
"Lowndes County, Georgia",""
"    Estimate","1,519"
"Muscogee County, Georgia",""
"    Estimate","2,742"
"Newton County, Georgia",""
"    Estimate","1,090"
"Paulding County, Georgia",""
"    Estimate","1,468"
"Richmond County, Georgia",""
"    Estimate","2,556"
"Rockdale County, Georgia",""
"    Estimate","911"
"Troup County, Georgia",""
"    Estimate","987"
"Walker County, Georgia",""
"    Estimate","817"
"Walton County, Georgia",""
"    Estimate","1,189"
"Whitfield County, Georgia",""
"    Estimate","1,307"
"Hawaii County, Hawaii",""
"    Estimate","3,083"
"Honolulu County, Hawaii",""
"    Estimate","17,827"
"Kauai County, Hawaii",""
"    Estimate","1,322"
"Maui County, Hawaii",""
"    Estimate","2,907"
"Ada County, Idaho",""
"    Estimate","4,808"
"Bannock County, Idaho",""
"    Estimate","1,536"
"Bonneville County, Idaho",""
"    Estimate","1,869"
"Canyon County, Idaho",""
"    Estimate","2,558"
"Kootenai County, Idaho",""
"    Estimate","2,008"
"Twin Falls County, Idaho",""
"    Estimate","1,223"
"Adams County, Illinois",""
"    Estimate","1,399"
"Champaign County, Illinois",""
"    Estimate","3,727"
"Cook County, Illinois",""
"    Estimate","76,001"
"DeKalb County, Illinois",""
"    Estimate","1,838"
"DuPage County, Illinois",""
"    Estimate","15,966"
"Kane County, Illinois",""
"    Estimate","6,580"
"Kankakee County, Illinois",""
"    Estimate","2,306"
"Kendall County, Illinois",""
"    Estimate","1,094"
"Lake County, Illinois",""
"    Estimate","12,002"
"LaSalle County, Illinois",""
"    Estimate","2,727"
"McHenry County, Illinois",""
"    Estimate","4,796"
"McLean County, Illinois",""
"    Estimate","3,399"
"Macon County, Illinois",""
"    Estimate","2,297"
"Madison County, Illinois",""
"    Estimate","4,293"
"Peoria County, Illinois",""
"    Estimate","3,475"
"Rock Island County, Illinois",""
"    Estimate","2,897"
"St. Clair County, Illinois",""
"    Estimate","3,692"
"Sangamon County, Illinois",""
"    Estimate","3,814"
"Tazewell County, Illinois",""
"    Estimate","2,698"
"Vermilion County, Illinois",""
"    Estimate","2,005"
"Will County, Illinois",""
"    Estimate","10,954"
"Williamson County, Illinois",""
"    Estimate","1,283"
"Winnebago County, Illinois",""
"    Estimate","4,690"
"Allen County, Indiana",""
"    Estimate","6,012"
"Bartholomew County, Indiana",""
"    Estimate","1,243"
"Clark County, Indiana",""
"    Estimate","1,682"
"Delaware County, Indiana",""
"    Estimate","1,887"
"Elkhart County, Indiana",""
"    Estimate","2,734"
"Floyd County, Indiana",""
"    Estimate","1,375"
"Grant County, Indiana",""
"    Estimate","1,381"
"Hamilton County, Indiana",""
"    Estimate","3,664"
"Hancock County, Indiana",""
"    Estimate","912"
"Hendricks County, Indiana",""
"    Estimate","1,919"
"Howard County, Indiana",""
"    Estimate","1,299"
"Johnson County, Indiana",""
"    Estimate","1,814"
"Kosciusko County, Indiana",""
"    Estimate","1,586"
